Transaction_ID|Transaction_DateTime|Amount|Vendor_Customer|Payment_Method|Location|flag_duplicate|flag_large_amount|flag_time_anomaly|risk_score|risk_level
TXD200009|2025-10-07 01:34:00|40.62|RIVER VALLEY CAFE|Cash|Fort McMurray, AB|1|0|1|2|HIGH RISK
TX100262|2025-10-06 21:57:00|48.91|URBAN GROCERS|Card|Edmonton, AB|0|0|0|0|LOW RISK
TX100030|2025-10-02 00:47:00|130.86|PRAIRIE FUEL|ACH|Lethbridge, AB|0|0|1|1|MEDIUM RISK
TX100236|2025-10-06 10:50:00|37.94|RIVER VALLEY CAFE|Wire|Edmonton, AB|0|0|0|0|LOW RISK
TX100240|2025-10-06 08:34:00|42.26|EDMONTON ELECTRICAL|ACH|Red Deer, AB|0|0|0|0|LOW RISK
TX100309|2025-10-07 18:47:00|50.25|URBAN GROCERS|Card|Fort McMurray, AB|0|0|0|0|LOW RISK
TX100141|2025-10-04 09:29:00|151.47|EDMONTON ELECTRICAL|Wire|Calgary, AB|0|0|0|0|LOW RISK
TX100335|2025-10-08 11:49:00|40.04|PRAIRIE FUEL|Card|Edmonton, AB|0|0|0|0|LOW RISK
TX100150|2025-10-04 11:13:00|72.83|MAPLE PHARMACY|ACH|Red Deer, AB|0|0|0|0|LOW RISK
TX100274|2025-10-07 03:27:00|43.16|PARKLAND HARDWARE|Wire|Fort McMurray, AB|0|0|1|1|MEDIUM RISK
TXB300017|2025-10-15 13:22:00|44.17|PRAIRIE FUEL|E-Transfer|Edmonton, AB|0|0|0|0|LOW RISK
TX100222|2025-10-05 23:56:00|76.84|SKYLINE LOGISTICS|Wire|Fort McMurray, AB|0|0|0|0|LOW RISK
TX100208|2025-10-05 16:38:00|161.23|MAPLE PHARMACY|E-Transfer|Lethbridge, AB|0|0|0|0|LOW RISK
TX100084|2025-10-03 02:57:00|32.71|URBAN GROCERS|Wire|Saskatoon, SK|0|0|1|1|MEDIUM RISK
TX100300|2025-10-07 16:24:00|58.24|RIVER VALLEY CAFE|ACH|Saskatoon, SK|0|0|0|0|LOW RISK
TX100086|2025-10-03 03:38:00|104.7|SKYLINE LOGISTICS|Cash|Saskatoon, SK|0|0|1|1|MEDIUM RISK
TX100080|2025-10-03 00:24:00|296.69|PARKLAND HARDWARE|E-Transfer|Red Deer, AB|0|0|1|1|MEDIUM RISK
TX100282|2025-10-07 05:34:00|80.68|ALBERTA OFFICE MART|Cash|Red Deer, AB|0|0|0|0|LOW RISK
TXD200000|2025-10-01 20:30:00|97.18|PARKLAND HARDWARE|Wire|Red Deer, AB|1|0|0|1|MEDIUM RISK
TX100313|2025-10-07 22:05:00|36.86|URBAN GROCERS|Wire|Red Deer, AB|0|0|0|0|LOW RISK
TX100204|2025-10-05 16:23:00|61.52|SUNRISE MOTEL|Wire|Red Deer, AB|0|0|0|0|LOW RISK
TX100114|2025-10-03 18:37:00|60.5|PARKLAND HARDWARE|Wire|Saskatoon, SK|0|0|0|0|LOW RISK
TX100060|2025-10-02 04:58:06|43.47|SKYLINE LOGISTICS|Wire|Edmonton, AB|0|0|1|1|MEDIUM RISK
TX100173|2025-10-05 03:00:00|28.52|NORTHSTAR SUPPLY|Cash|Edmonton, AB|0|0|1|1|MEDIUM RISK
TX100079|2025-10-03 00:34:00|47.6|PRAIRIE FUEL|Cash|Lethbridge, AB|0|0|1|1|MEDIUM RISK
TX100003|2025-10-01 09:38:00|387.81|NORTHSTAR SUPPLY|ACH|Calgary, AB|0|0|0|0|LOW RISK
TX100129|2025-10-04 00:45:00|40.71|PARKLAND HARDWARE|ACH|Lethbridge, AB|0|0|1|1|MEDIUM RISK
TX100101|2025-10-03 10:43:00|27.65|EDMONTON ELECTRICAL|Card|Calgary, AB|0|0|0|0|LOW RISK
TX100329|2025-10-08 07:54:00|49.05|SKYLINE LOGISTICS|Cash|Saskatoon, SK|0|0|0|0|LOW RISK
TX100207|2025-10-05 16:45:00|117.79|MAPLE PHARMACY|Wire|Saskatoon, SK|0|0|0|0|LOW RISK
TX100120|2025-10-04 00:11:00|99.84|EDMONTON ELECTRICAL|E-Transfer|Fort McMurray, AB|0|0|1|1|MEDIUM RISK
TX100343|2025-10-08 12:33:00|73.8|SKYLINE LOGISTICS|Card|Saskatoon, SK|0|0|0|0|LOW RISK
TX100269|2025-10-07 00:34:00|85.97|URBAN GROCERS|Cash|Fort McMurray, AB|0|0|1|1|MEDIUM RISK
TX100026|2025-10-01 00:10:28|75.04|SUNRISE MOTEL|Card|Edmonton, AB|0|0|1|1|MEDIUM RISK
TX100157|2025-10-04 16:54:00|93.44|SUNRISE MOTEL|Wire|Saskatoon, SK|0|0|0|0|LOW RISK
TX100193|2025-10-05 08:57:00|33.72|RIVER VALLEY CAFE|E-Transfer|Red Deer, AB|0|0|0|0|LOW RISK
TX100221|2025-10-06 02:29:00|71.82|URBAN GROCERS|E-Transfer|Saskatoon, SK|0|0|1|1|MEDIUM RISK
TX100342|2025-10-08 14:49:00|114.83|URBAN GROCERS|Cash|Red Deer, AB|0|0|0|0|LOW RISK
TX100081|2025-10-03 01:15:00|163.44|URBAN GROCERS|ACH|Lethbridge, AB|0|0|1|1|MEDIUM RISK
TX100052|2025-10-02 11:33:00|125.84|RIVER VALLEY CAFE|Cash|Edmonton, AB|0|0|0|0|LOW RISK
TX100132|2025-10-04 02:05:00|103.68|MAPLE PHARMACY|Wire|Lethbridge, AB|0|0|1|1|MEDIUM RISK
TX100210|2025-10-05 20:26:00|76.26|SUNRISE MOTEL|E-Transfer|Edmonton, AB|0|0|0|0|LOW RISK
TX100268|2025-10-07 01:34:00|40.62|RIVER VALLEY CAFE|Cash|Fort McMurray, AB|1|0|1|2|HIGH RISK
TX100287|2025-10-07 07:44:00|7778.41|URBAN GROCERS|ACH|Fort McMurray, AB|0|1|0|1|MEDIUM RISK
TX100118|2025-10-04 03:25:00|43.64|NORTHSTAR SUPPLY|Wire|Calgary, AB|0|0|1|1|MEDIUM RISK
TXB300008|2025-10-15 13:36:00|79.6|PRAIRIE FUEL|Card|Edmonton, AB|0|0|0|0|LOW RISK
TX100227|2025-10-06 02:00:00|39.35|RIVER VALLEY CAFE|ACH|Lethbridge, AB|0|0|1|1|MEDIUM RISK
TX100090|2025-10-03 07:43:00|71.77|PARKLAND HARDWARE|Cash|Edmonton, AB|0|0|0|0|LOW RISK
TX100322|2025-10-08 04:30:00|26.17|SKYLINE LOGISTICS|ACH|Calgary, AB|0|0|1|1|MEDIUM RISK
TX100074|2025-10-03 06:48:00|154.76|PARKLAND HARDWARE|Cash|Fort McMurray, AB|0|0|0|0|LOW RISK
TX100184|2025-10-05 05:13:00|71.12|RIVER VALLEY CAFE|Wire|Calgary, AB|0|0|0|0|LOW RISK
TX100053|2025-10-02 16:11:00|82.13|EDMONTON ELECTRICAL|Wire|Lethbridge, AB|0|0|0|0|LOW RISK
TX100318|2025-10-08 00:27:00|158.76|URBAN GROCERS|Wire|Calgary, AB|0|0|1|1|MEDIUM RISK
TXB300005|2025-10-15 13:51:00|51.04|PRAIRIE FUEL|Card|Edmonton, AB|0|0|0|0|LOW RISK
TX100341|2025-10-08 11:43:00|100.7|PARKLAND HARDWARE|ACH|Fort McMurray, AB|0|0|0|0|LOW RISK
TX100155|2025-10-04 14:52:00|48.0|ALBERTA OFFICE MART|Cash|Fort McMurray, AB|0|0|0|0|LOW RISK
TX100263|2025-10-06 21:05:00|76.46|ALBERTA OFFICE MART|Wire|Lethbridge, AB|0|0|0|0|LOW RISK
TX100104|2025-10-03 15:04:00|76.82|SKYLINE LOGISTICS|Cash|Calgary, AB|0|0|0|0|LOW RISK
TX100089|2025-10-03 04:37:00|90.64|SUNRISE MOTEL|Cash|Fort McMurray, AB|0|0|1|1|MEDIUM RISK
TX100147|2025-10-04 10:20:00|87.37|PARKLAND HARDWARE|Card|Red Deer, AB|1|0|0|1|MEDIUM RISK
TXB300003|2025-10-15 13:26:00|41.13|PRAIRIE FUEL|E-Transfer|Edmonton, AB|0|0|0|0|LOW RISK
TX100099|2025-10-03 09:41:00|29.83|ALBERTA OFFICE MART|Wire|Fort McMurray, AB|0|0|0|0|LOW RISK
TXB300001|2025-10-15 13:31:00|61.62|PRAIRIE FUEL|E-Transfer|Edmonton, AB|0|0|0|0|LOW RISK
TX100228|2025-10-06 02:33:00|28.33|EDMONTON ELECTRICAL|Card|Fort McMurray, AB|0|0|1|1|MEDIUM RISK
TX100307|2025-10-08 02:39:00|72.8|PARKLAND HARDWARE|E-Transfer|Fort McMurray, AB|0|0|1|1|MEDIUM RISK
TX100015|2025-10-01 03:30:00|60.78|SUNRISE MOTEL|ACH|Saskatoon, SK|0|0|1|1|MEDIUM RISK
TX100239|2025-10-06 08:56:00|52.65|PRAIRIE FUEL|ACH|Edmonton, AB|0|0|0|0|LOW RISK
TX100188|2025-10-05 06:29:00|29.74|RIVER VALLEY CAFE|Card|Fort McMurray, AB|0|0|0|0|LOW RISK
TX100170|2025-10-04 22:06:00|38.31|RIVER VALLEY CAFE|ACH|Calgary, AB|0|0|0|0|LOW RISK
TX100037|2025-10-02 05:28:00|20.23|SKYLINE LOGISTICS|Cash|Saskatoon, SK|0|0|0|0|LOW RISK
TX100002|2025-10-01 16:37:00|70.19|PRAIRIE FUEL|Cash|Lethbridge, AB|0|0|0|0|LOW RISK
TX100062|2025-10-02 19:47:00|57.67|SKYLINE LOGISTICS|E-Transfer|Edmonton, AB|0|0|0|0|LOW RISK
TX100111|2025-10-03 18:18:00|118.72|URBAN GROCERS|ACH|Red Deer, AB|0|0|0|0|LOW RISK
TX100139|2025-10-04 09:04:00|9.59|RIVER VALLEY CAFE|Card|Calgary, AB|0|0|0|0|LOW RISK
TX100293|2025-10-07 11:31:00|38.11|SKYLINE LOGISTICS|E-Transfer|Edmonton, AB|1|0|0|1|MEDIUM RISK
TX100314|2025-10-07 22:46:00|56.86|URBAN GROCERS|Wire|Edmonton, AB|0|0|0|0|LOW RISK
TX100154|2025-10-04 15:39:00|98.1|EDMONTON ELECTRICAL|Cash|Calgary, AB|0|0|0|0|LOW RISK
TX100073|2025-10-03 02:08:00|25.78|PRAIRIE FUEL|E-Transfer|Edmonton, AB|0|0|1|1|MEDIUM RISK
TX100163|2025-10-04 18:08:00|60.86|RIVER VALLEY CAFE|Card|Fort McMurray, AB|0|0|0|0|LOW RISK
TX100212|2025-10-05 18:19:00|238.63|PARKLAND HARDWARE|Card|Fort McMurray, AB|0|0|0|0|LOW RISK
TX100138|2025-10-04 05:42:00|133.78|PRAIRIE FUEL|E-Transfer|Saskatoon, SK|0|0|0|0|LOW RISK
TX100202|2025-10-05 13:09:00|98.31|URBAN GROCERS|Card|Lethbridge, AB|0|0|0|0|LOW RISK
TX100145|2025-10-04 09:59:00|55.95|PARKLAND HARDWARE|Wire|Calgary, AB|0|0|0|0|LOW RISK
TX100088|2025-10-03 06:06:00|149.68|SKYLINE LOGISTICS|Cash|Calgary, AB|0|0|0|0|LOW RISK
TX100187|2025-10-05 06:25:00|48.42|RIVER VALLEY CAFE|ACH|Calgary, AB|0|0|0|0|LOW RISK
TX100264|2025-10-06 23:11:00|108.83|EDMONTON ELECTRICAL|Cash|Fort McMurray, AB|0|0|0|0|LOW RISK
TX100066|2025-10-02 18:35:00|107.29|PARKLAND HARDWARE|ACH|Edmonton, AB|0|0|0|0|LOW RISK
TXD200003|2025-10-04 10:20:00|87.37|PARKLAND HARDWARE|Card|Red Deer, AB|1|0|0|1|MEDIUM RISK
TX100102|2025-10-03 13:18:00|86.16|SUNRISE MOTEL|Wire|Saskatoon, SK|0|0|0|0|LOW RISK
TX100349|2025-10-08 14:30:00|75.88|PARKLAND HARDWARE|Cash|Red Deer, AB|0|0|0|0|LOW RISK
TX100178|2025-10-05 02:41:00|64.68|ALBERTA OFFICE MART|Wire|Lethbridge, AB|0|0|1|1|MEDIUM RISK
TX100241|2025-10-06 10:39:00|58.08|PARKLAND HARDWARE|E-Transfer|Lethbridge, AB|0|0|0|0|LOW RISK
TX100016|2025-10-01 16:54:00|86.69|URBAN GROCERS|Cash|Edmonton, AB|0|0|0|0|LOW RISK
TX100278|2025-10-07 03:00:00|67.47|PARKLAND HARDWARE|E-Transfer|Red Deer, AB|0|0|1|1|MEDIUM RISK
TXB300015|2025-10-15 13:41:00|36.75|PRAIRIE FUEL|E-Transfer|Edmonton, AB|0|0|0|0|LOW RISK
TX100070|2025-10-02 19:02:00|190.52|PARKLAND HARDWARE|Wire|Edmonton, AB|0|0|0|0|LOW RISK
TXB300013|2025-10-15 13:09:00|48.79|PRAIRIE FUEL|E-Transfer|Edmonton, AB|0|0|0|0|LOW RISK
TX100174|2025-10-05 02:17:00|20.02|NORTHSTAR SUPPLY|Card|Saskatoon, SK|0|0|1|1|MEDIUM RISK
TXB300014|2025-10-15 13:18:00|26.51|PRAIRIE FUEL|E-Transfer|Edmonton, AB|0|0|0|0|LOW RISK
TX100288|2025-10-07 08:48:00|24.42|SKYLINE LOGISTICS|Wire|Red Deer, AB|0|0|0|0|LOW RISK
TX100248|2025-10-06 14:38:00|84.84|ALBERTA OFFICE MART|Cash|Edmonton, AB|0|0|0|0|LOW RISK
TX100022|2025-10-01 20:03:00|50.5|URBAN GROCERS|E-Transfer|Saskatoon, SK|0|0|0|0|LOW RISK
TX100050|2025-10-02 02:01:20|36.28|URBAN GROCERS|E-Transfer|Edmonton, AB|0|0|1|1|MEDIUM RISK
TX100347|2025-10-08 13:38:00|57.83|NORTHSTAR SUPPLY|Cash|Calgary, AB|0|0|0|0|LOW RISK
TX100277|2025-10-07 06:22:00|26.59|PARKLAND HARDWARE|ACH|Edmonton, AB|0|0|0|0|LOW RISK
TX100018|2025-10-01 18:42:00|54.58|NORTHSTAR SUPPLY|ACH|Calgary, AB|0|0|0|0|LOW RISK
TX100148|2025-10-04 16:06:00|216.17|MAPLE PHARMACY|Wire|Fort McMurray, AB|0|0|0|0|LOW RISK
TX100237|2025-10-06 07:08:00|60.62|MAPLE PHARMACY|Wire|Red Deer, AB|0|0|0|0|LOW RISK
TX100020|2025-10-01 20:08:00|45.71|PARKLAND HARDWARE|Wire|Lethbridge, AB|0|0|0|0|LOW RISK
TX100055|2025-10-02 11:47:00|34.88|PARKLAND HARDWARE|E-Transfer|Saskatoon, SK|0|0|0|0|LOW RISK
TX100194|2025-10-05 12:57:00|44.08|EDMONTON ELECTRICAL|Card|Red Deer, AB|0|0|0|0|LOW RISK
TX100321|2025-10-08 01:17:00|72.21|RIVER VALLEY CAFE|Card|Lethbridge, AB|0|0|1|1|MEDIUM RISK
TX100273|2025-10-07 00:36:00|30.0|MAPLE PHARMACY|E-Transfer|Fort McMurray, AB|0|0|1|1|MEDIUM RISK
TX100320|2025-10-08 02:24:00|73.7|SKYLINE LOGISTICS|E-Transfer|Red Deer, AB|0|0|1|1|MEDIUM RISK
TX100231|2025-10-06 07:28:00|112.13|SKYLINE LOGISTICS|Cash|Saskatoon, SK|0|0|0|0|LOW RISK
TX100297|2025-10-07 14:29:00|67.72|NORTHSTAR SUPPLY|Card|Calgary, AB|0|0|0|0|LOW RISK
TXD200006|2025-10-08 08:11:00|117.27|PRAIRIE FUEL|Card|Calgary, AB|1|0|0|1|MEDIUM RISK
TX100097|2025-10-03 08:54:00|96.61|URBAN GROCERS|Wire|Calgary, AB|0|0|0|0|LOW RISK
TX100301|2025-10-07 15:19:00|86.47|ALBERTA OFFICE MART|Card|Edmonton, AB|0|0|0|0|LOW RISK
TX100122|2025-10-03 21:47:00|63.66|NORTHSTAR SUPPLY|Cash|Saskatoon, SK|0|0|0|0|LOW RISK
TX100113|2025-10-03 16:37:00|63.05|EDMONTON ELECTRICAL|Card|Saskatoon, SK|0|0|0|0|LOW RISK
TX100246|2025-10-06 17:13:00|36.08|SKYLINE LOGISTICS|Wire|Red Deer, AB|0|0|0|0|LOW RISK
TX100108|2025-10-03 17:45:00|110.94|EDMONTON ELECTRICAL|Wire|Calgary, AB|0|0|0|0|LOW RISK
TX100165|2025-10-04 19:09:00|138.0|ALBERTA OFFICE MART|Cash|Lethbridge, AB|0|0|0|0|LOW RISK
TX100094|2025-10-03 14:15:00|63.38|SUNRISE MOTEL|Card|Fort McMurray, AB|0|0|0|0|LOW RISK
TX100243|2025-10-06 09:58:00|33.55|PARKLAND HARDWARE|E-Transfer|Fort McMurray, AB|0|0|0|0|LOW RISK
TX100125|2025-10-04 05:00:00|81.07|NORTHSTAR SUPPLY|E-Transfer|Calgary, AB|0|0|0|0|LOW RISK
TX100213|2025-10-05 19:19:00|63.52|SKYLINE LOGISTICS|ACH|Edmonton, AB|0|0|0|0|LOW RISK
TXB300004|2025-10-15 13:06:00|49.16|PRAIRIE FUEL|E-Transfer|Edmonton, AB|0|0|0|0|LOW RISK
TX100091|2025-10-03 06:10:00|91.55|URBAN GROCERS|Card|Calgary, AB|0|0|0|0|LOW RISK
TXB300002|2025-10-15 13:11:00|77.31|PRAIRIE FUEL|E-Transfer|Edmonton, AB|0|0|0|0|LOW RISK
TX100319|2025-10-08 02:40:00|97.77|RIVER VALLEY CAFE|E-Transfer|Calgary, AB|0|0|1|1|MEDIUM RISK
TX100162|2025-10-04 17:38:00|66.34|SUNRISE MOTEL|E-Transfer|Edmonton, AB|0|0|0|0|LOW RISK
TX100159|2025-10-04 15:49:00|43.45|NORTHSTAR SUPPLY|E-Transfer|Fort McMurray, AB|0|0|0|0|LOW RISK
TX100310|2025-10-07 19:46:00|54.76|RIVER VALLEY CAFE|Card|Edmonton, AB|0|0|0|0|LOW RISK
TX100024|2025-10-01 22:00:00|16.45|RIVER VALLEY CAFE|ACH|Fort McMurray, AB|0|0|0|0|LOW RISK
TX100315|2025-10-08 13:57:00|35.95|PARKLAND HARDWARE|Wire|Red Deer, AB|0|0|0|0|LOW RISK
TX100217|2025-10-05 21:47:00|18.12|MAPLE PHARMACY|ACH|Edmonton, AB|0|0|0|0|LOW RISK
TX100126|2025-10-04 00:30:00|138.82|RIVER VALLEY CAFE|Card|Edmonton, AB|0|0|1|1|MEDIUM RISK
TX100308|2025-10-07 19:32:00|106.98|MAPLE PHARMACY|E-Transfer|Lethbridge, AB|0|0|0|0|LOW RISK
TX100078|2025-10-03 03:49:00|59.77|MAPLE PHARMACY|Cash|Saskatoon, SK|0|0|1|1|MEDIUM RISK
TXB300018|2025-10-15 13:38:00|74.83|PRAIRIE FUEL|Card|Edmonton, AB|0|0|0|0|LOW RISK
TX100316|2025-10-07 22:46:00|47.09|ALBERTA OFFICE MART|E-Transfer|Edmonton, AB|0|0|0|0|LOW RISK
TX100284|2025-10-07 06:19:00|70.89|SUNRISE MOTEL|Cash|Calgary, AB|0|0|0|0|LOW RISK
TX100270|2025-10-07 01:23:00|92.51|MAPLE PHARMACY|Wire|Edmonton, AB|0|0|1|1|MEDIUM RISK
TX100061|2025-10-02 18:41:00|49.8|URBAN GROCERS|Card|Calgary, AB|0|0|0|0|LOW RISK
TX100266|2025-10-06 22:59:00|74.66|EDMONTON ELECTRICAL|Wire|Fort McMurray, AB|0|0|0|0|LOW RISK
TX100093|2025-10-03 06:49:00|135.42|URBAN GROCERS|Wire|Lethbridge, AB|0|0|0|0|LOW RISK
TX100254|2025-10-06 15:25:00|123.96|SUNRISE MOTEL|Card|Red Deer, AB|0|0|0|0|LOW RISK
TX100338|2025-10-08 10:08:00|32.48|URBAN GROCERS|Wire|Red Deer, AB|0|0|0|0|LOW RISK
TX100069|2025-10-02 18:49:00|60.42|RIVER VALLEY CAFE|Cash|Lethbridge, AB|0|0|0|0|LOW RISK
TX100036|2025-10-02 02:21:00|32.23|RIVER VALLEY CAFE|ACH|Saskatoon, SK|0|0|1|1|MEDIUM RISK
TX100040|2025-10-02 08:21:00|118.27|SUNRISE MOTEL|Card|Fort McMurray, AB|0|0|0|0|LOW RISK
TX100160|2025-10-04 17:33:00|26.51|PRAIRIE FUEL|Cash|Edmonton, AB|0|0|0|0|LOW RISK
TX100271|2025-10-07 00:33:00|81.77|EDMONTON ELECTRICAL|E-Transfer|Edmonton, AB|0|0|1|1|MEDIUM RISK
TX100011|2025-10-01 13:47:00|70.6|MAPLE PHARMACY|E-Transfer|Red Deer, AB|0|0|0|0|LOW RISK
TX100232|2025-10-06 06:25:00|101.88|MAPLE PHARMACY|Cash|Fort McMurray, AB|0|0|0|0|LOW RISK
TX100261|2025-10-06 19:11:00|70.54|ALBERTA OFFICE MART|ACH|Lethbridge, AB|0|0|0|0|LOW RISK
TX100267|2025-10-06 22:05:00|50.14|PARKLAND HARDWARE|Cash|Red Deer, AB|0|0|0|0|LOW RISK
TX100205|2025-10-05 15:05:00|74.24|SKYLINE LOGISTICS|E-Transfer|Red Deer, AB|0|0|0|0|LOW RISK
TX100127|2025-10-04 00:59:00|42.56|MAPLE PHARMACY|Wire|Lethbridge, AB|0|0|1|1|MEDIUM RISK
TX100181|2025-10-05 07:35:00|43.21|URBAN GROCERS|E-Transfer|Fort McMurray, AB|0|0|0|0|LOW RISK
TX100046|2025-10-02 07:08:00|122.98|ALBERTA OFFICE MART|ACH|Red Deer, AB|0|0|0|0|LOW RISK
TX100283|2025-10-07 05:51:00|96.8|NORTHSTAR SUPPLY|Wire|Red Deer, AB|0|0|0|0|LOW RISK
TX100331|2025-10-08 08:02:00|23.82|PARKLAND HARDWARE|E-Transfer|Calgary, AB|0|0|0|0|LOW RISK
TX100176|2025-10-05 07:56:00|5863.33|MAPLE PHARMACY|Wire|Calgary, AB|0|1|0|1|MEDIUM RISK
TX100128|2025-10-04 00:11:00|67.36|NORTHSTAR SUPPLY|Card|Fort McMurray, AB|0|0|1|1|MEDIUM RISK
TX100238|2025-10-06 07:00:00|64.42|ALBERTA OFFICE MART|E-Transfer|Calgary, AB|0|0|0|0|LOW RISK
TX100007|2025-10-01 16:18:00|55.49|NORTHSTAR SUPPLY|ACH|Edmonton, AB|0|0|0|0|LOW RISK
TX100328|2025-10-08 04:20:00|70.2|NORTHSTAR SUPPLY|E-Transfer|Fort McMurray, AB|0|0|1|1|MEDIUM RISK
TX100216|2025-10-05 20:01:00|58.88|NORTHSTAR SUPPLY|Wire|Edmonton, AB|0|0|0|0|LOW RISK
TX100289|2025-10-07 09:35:00|32.73|NORTHSTAR SUPPLY|E-Transfer|Edmonton, AB|0|0|0|0|LOW RISK
TX100179|2025-10-05 03:07:00|31.02|ALBERTA OFFICE MART|ACH|Red Deer, AB|0|0|1|1|MEDIUM RISK
TX100172|2025-10-04 23:33:00|4207.58|EDMONTON ELECTRICAL|Wire|Red Deer, AB|0|1|0|1|MEDIUM RISK
TX100281|2025-10-07 06:12:00|2906.84|ALBERTA OFFICE MART|ACH|Calgary, AB|0|1|0|1|MEDIUM RISK
TX100008|2025-10-01 12:28:00|100.67|URBAN GROCERS|ACH|Edmonton, AB|0|0|0|0|LOW RISK
TX100258|2025-10-06 18:17:00|132.62|RIVER VALLEY CAFE|Wire|Lethbridge, AB|0|0|0|0|LOW RISK
TX100027|2025-10-01 23:52:00|184.09|MAPLE PHARMACY|Wire|Calgary, AB|0|0|0|0|LOW RISK
TX100280|2025-10-07 07:13:00|5233.0|NORTHSTAR SUPPLY|Wire|Fort McMurray, AB|0|1|0|1|MEDIUM RISK
TX100333|2025-10-08 07:15:00|65.82|RIVER VALLEY CAFE|Wire|Red Deer, AB|0|0|0|0|LOW RISK
TX100058|2025-10-02 16:53:00|68.03|MAPLE PHARMACY|Wire|Fort McMurray, AB|0|0|0|0|LOW RISK
TX100064|2025-10-02 19:43:00|87.2|PRAIRIE FUEL|Card|Lethbridge, AB|0|0|0|0|LOW RISK
TX100235|2025-10-06 06:28:00|47.28|PRAIRIE FUEL|Wire|Edmonton, AB|0|0|0|0|LOW RISK
TX100326|2025-10-08 00:53:53|134.18|NORTHSTAR SUPPLY|ACH|Calgary, AB|0|0|1|1|MEDIUM RISK
TX100153|2025-10-04 15:38:00|1220.95|RIVER VALLEY CAFE|ACH|Edmonton, AB|0|1|0|1|MEDIUM RISK
TX100048|2025-10-02 09:49:00|103.31|ALBERTA OFFICE MART|E-Transfer|Calgary, AB|0|0|0|0|LOW RISK
TX100253|2025-10-06 15:57:00|124.44|PRAIRIE FUEL|Wire|Fort McMurray, AB|0|0|0|0|LOW RISK
TX100031|2025-10-01 23:46:00|63.14|PARKLAND HARDWARE|Cash|Saskatoon, SK|0|0|0|0|LOW RISK
TX100001|2025-10-01 11:04:00|148.62|NORTHSTAR SUPPLY|Card|Lethbridge, AB|0|0|0|0|LOW RISK
TX100171|2025-10-05 02:44:00|6025.03|RIVER VALLEY CAFE|ACH|Lethbridge, AB|0|1|1|2|HIGH RISK
TX100242|2025-10-06 09:59:00|66.33|MAPLE PHARMACY|Cash|Edmonton, AB|0|0|0|0|LOW RISK
TX100013|2025-10-01 15:45:00|127.38|PRAIRIE FUEL|ACH|Red Deer, AB|0|0|0|0|LOW RISK
TX100346|2025-10-08 01:40:50|28.44|NORTHSTAR SUPPLY|Wire|Edmonton, AB|0|0|1|1|MEDIUM RISK
TX100009|2025-10-01 12:33:00|63.71|SUNRISE MOTEL|ACH|Fort McMurray, AB|0|0|0|0|LOW RISK
TX100146|2025-10-04 09:04:00|39.7|PARKLAND HARDWARE|Cash|Edmonton, AB|0|0|0|0|LOW RISK
TX100249|2025-10-06 13:13:00|80.96|PARKLAND HARDWARE|Card|Red Deer, AB|0|0|0|0|LOW RISK
TXD200001|2025-10-07 15:02:00|58.82|SKYLINE LOGISTICS|Card|Lethbridge, AB|1|0|0|1|MEDIUM RISK
